comment,full_comment,negative,neutral,positive,compound,sentiment
Piastri❤❤❤,Piastri❤❤❤,0.0,0.241,0.759,0.9274,Positive
Chat WarnerBros Official account and still only 50 Comments is interesting lol,Chat WarnerBros Official account and still only 50 Comments is interesting lol,0.0,0.645,0.355,0.6705,Positive
F1 선수가 카페 가면 뭐 주문할까?  자동차,F1 선수가 카페 가면 뭐 주문할까?  자동차,0.0,1.0,0.0,0.0,Neutral
😍❤,😍❤,0.0,0.357,0.643,0.802,Positive
"yawar
Hussain","yawar
Hussain",0.0,1.0,0.0,0.0,Neutral
😂😂😂😂,😂😂😂😂,0.218,0.345,0.437,0.891,Positive
❤️,❤️,0.0,1.0,0.0,0.0,Neutral
"“What’s happening?”
“He’s flying”","“What’s happening?”
“He’s flying”",0.0,1.0,0.0,0.0,Neutral
❤️,❤️,0.0,1.0,0.0,0.0,Neutral
🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,0.0,0.556,0.444,0.9849,Positive
😂Ryfy,😂Ryfy,0.322,0.678,0.0,-0.2263,Negative
❤️,❤️,0.0,1.0,0.0,0.0,Neutral
I watched this movie in the cinema from egypt its insane its..fantastic 💗,I watched this movie in the cinema from egypt its insane its..fantastic 💗,0.138,0.561,0.301,0.4939,Positive
AMEI❤❤❤,AMEI❤❤❤,0.0,0.241,0.759,0.9274,Positive
❤️,❤️,0.0,1.0,0.0,0.0,Neutral
This could have been a grill cheese,This could have been a grill cheese,0.0,1.0,0.0,0.0,Neutral
This could have been a grill cheese @cheftyler,This could have been a grill cheese @cheftyler,0.0,1.0,0.0,0.0,Neutral
❤️,❤️,0.0,1.0,0.0,0.0,Neutral
"❤️❤❤
❤❤❤❤❤❤","❤️❤❤
❤❤❤❤❤❤",0.0,0.229,0.771,0.9887,Positive
😂ha,😂ha,0.322,0.678,0.0,-0.2263,Negative
😢,😢,0.756,0.244,0.0,-0.4767,Negative
❤️,❤️,0.0,1.0,0.0,0.0,Neutral
Is it on Netflix? I wanna watch it again,Is it on Netflix? I wanna watch it again,0.0,1.0,0.0,0.0,Neutral
Excellent movie... heartiest congratulations to the entire team for making such a wonderful movie!!!...,Excellent movie... heartiest congratulations to the entire team for making such a wonderful movie!!!!❤,0.0,0.419,0.581,0.9563,Positive
SWAN,SWAN,0.0,1.0,0.0,0.0,Neutral
Ahh I just saw it in the theater! So good amazing movie,Ahh I just saw it in the theater! So good amazing movie,0.0,0.552,0.448,0.8447,Positive
Me watching this trailer while I watched the actual movie just yesterday,Me watching this trailer while I watched the actual movie just yesterday,0.0,1.0,0.0,0.0,Neutral
🔥🔥🏁🎬😎🎬🏁🔥🔥Saw the Chicago premiere tonight and it was amazing.,🔥🔥🏁🎬😎🎬🏁🔥🔥Saw the Chicago premiere tonight and it was amazing.,0.218,0.576,0.206,0.1531,Positive
Type type,Type type,0.0,1.0,0.0,0.0,Neutral
Awesome film of the year,Awesome film of the year,0.0,0.494,0.506,0.6249,Positive
Tate McRaes new song is in there tooooooo ahhhhh,Tate McRaes new song is in there tooooooo ahhhhh,0.0,1.0,0.0,0.0,Neutral
This movie will be emotions,This movie will be emotions,0.0,1.0,0.0,0.0,Neutral
Ok but why does every Apple Original Film EXCEPT TETRIS get a theatrical run,Ok but why does every Apple Original Film EXCEPT TETRIS get a theatrical run,0.0,0.725,0.275,0.5499,Positive
"You got this , don't mess this up ,people will come to warner bros studios with pichforks if you do","You got this , don't mess this up ,people will come to warner bros studios with pichforks if you do",0.0,0.9,0.1,0.2755,Positive
"Joaquin👦🏻: coyote vs acme the movie, looney tunes in back action 2 the movie, looney tunes in Peru 🇵...","Joaquin👦🏻: coyote vs acme the movie, looney tunes in back action 2 the movie, looney tunes in Peru 🇵🇪 the movie, Peru vs acme the movie.",0.0,1.0,0.0,0.0,Neutral
Fast & Furious ?,Fast & Furious ?,0.552,0.448,0.0,-0.5719,Negative
Warner bros ❤❤,Warner bros ❤❤,0.0,0.323,0.677,0.8555,Positive
Can anybody tell why WBD is making spectacular films lately? Great films are rampanting in the libra...,Can anybody tell why WBD is making spectacular films lately? Great films are rampanting in the library of WBD. ❤ Keep it up. ❤,0.0,0.648,0.352,0.926,Positive
"🇬🇷 ΕΧΩ ΕΡΓΑΡΕΣ ΑΡΙΣΤΟΥΡΓΗΜΑΤΑ ΓΙΑ ΚΙΝΗΜΑΤΟΓΡΑΦΟ,ΒΙΝΤΕΟΓΚΕΗΜΣ ΚΛΠ!!!🇬🇷","🇬🇷 ΕΧΩ ΕΡΓΑΡΕΣ ΑΡΙΣΤΟΥΡΓΗΜΑΤΑ ΓΙΑ ΚΙΝΗΜΑΤΟΓΡΑΦΟ,ΒΙΝΤΕΟΓΚΕΗΜΣ ΚΛΠ!!!🇬🇷",0.0,1.0,0.0,0.0,Neutral
Im there,Im there,0.0,1.0,0.0,0.0,Neutral
🙋‍♂️,🙋‍♂️,0.0,1.0,0.0,0.0,Neutral
Any relation to Elba Idris?  😜,Any relation to Elba Idris?  😜,0.0,1.0,0.0,0.0,Neutral
👍👍👍👍,👍👍👍👍,0.0,1.0,0.0,0.0,Neutral
🔥👍🏼,🔥👍🏼,0.324,0.676,0.0,-0.34,Negative
Please Submit a New Short Video from A Minecraft Movie,Please Submit a New Short Video from A Minecraft Movie,0.0,0.796,0.204,0.3182,Positive
Oscar Nominees for the Best Picture Oscar!,Oscar Nominees for the Best Picture Oscar!,0.0,0.572,0.428,0.6696,Positive
"looks like a remake of the movie "" Driven "" with Silvester Stallone.. what is with Hollywood's obses...","looks like a remake of the movie "" Driven "" with Silvester Stallone.. what is with Hollywood's obsession of doing nothing but remakes? and not even good remakes, most of the time it is nothing more than a race or gender swap, with a couple lines changed to make them seem more modern.",0.085,0.884,0.031,-0.4694,Negative
Typical Hollywood rubbish. Biggest load of BS. Honestly how do people write this rubbish and then cl...,Typical Hollywood rubbish. Biggest load of BS. Honestly how do people write this rubbish and then claim it to be a realistic film.,0.0,0.88,0.12,0.4588,Positive
"Kfund Kentucky the Westwood Sidewalks can not understand the pittstUR way of life in Hollywood 

Eac...","Kfund Kentucky the Westwood Sidewalks can not understand the pittstUR way of life in Hollywood 

Each and all those movies positions were permanent vacancies only dead office ghouls don't film and or youtube well",0.112,0.833,0.055,-0.4939,Negative
The relationship between a man and a machine is  absolutely stunning in this movie!! Loved it!,The relationship between a man and a machine is  absolutely stunning in this movie!! Loved it!,0.0,0.646,0.354,0.8257,Positive
"What, an African Tribesman F1 Driver? Someone had to say it. 😛 And Yes, Hamilton is Half Euro!. Was ...","What, an African Tribesman F1 Driver? Someone had to say it. 😛 And Yes, Hamilton is Half Euro!. Was it a good movie? Mr. Pitt is about 30 years too old.......",0.0,0.832,0.168,0.7393,Positive
Anyone here after it got nominated for Best Picture?,Anyone here after it got nominated for Best Picture?,0.0,0.656,0.344,0.6369,Positive
"This movie just got 4 Oscar nominations 🎉
Including Best picture","This movie just got 4 Oscar nominations 🎉
Including Best picture",0.0,0.592,0.408,0.7845,Positive
How tf did this get a Best Picture nomination?,How tf did this get a Best Picture nomination?,0.0,0.656,0.344,0.6369,Positive
I love how immersive this feels,I love how immersive this feels,0.0,0.543,0.457,0.6369,Positive
It's really a good movie!,It's really a good movie!,0.0,0.535,0.465,0.5378,Positive
Excelente trailer,Excelente trailer,0.0,1.0,0.0,0.0,Neutral
I just watched it last night.  It was enjoyable. It makes me curious how realistic some o the racing...,"I just watched it last night.  It was enjoyable. It makes me curious how realistic some o the racing strategies were.  Also, I kept thinking Juno Temple (Ted Lasso) would have been a great casting for Kate McKenna's character.",0.0,0.795,0.205,0.8519,Positive
Tried across psrade did slfrd flags wrong colors bstldhio fslsevide flagedd,Tried across psrade did slfrd flags wrong colors bstldhio fslsevide flagedd,0.237,0.763,0.0,-0.4767,Negative
Good  D.E.I.,Good  D.E.I.,0.0,0.256,0.744,0.4404,Positive
Shisbtz. Phiesck since uh oh dcreee bsketibgd,Shisbtz. Phiesck since uh oh dcreee bsketibgd,0.0,1.0,0.0,0.0,Neutral
