comment,full_comment,negative,neutral,positive,compound,sentiment
He looks nothing like a table tennis player!,He looks nothing like a table tennis player!,0.255,0.745,0.0,-0.3404,Negative
"Pelicula sin valores,  nada recomendable, no deja ninguna buena enseñansa, para los hijos","Pelicula sin valores,  nada recomendable, no deja ninguna buena enseñansa, para los hijos",0.345,0.655,0.0,-0.7003,Negative
"Nada que ver con el deporte  pura violencia  ,  nada recomendable","Nada que ver con el deporte  pura violencia  ,  nada recomendable",0.0,1.0,0.0,0.0,Neutral
"Pelicula,  demasiada  Mala solo  violencia  sin ninguna  buena enseñansa   que falta de respeto  por...","Pelicula,  demasiada  Mala solo  violencia  sin ninguna  buena enseñansa   que falta de respeto  por las personas",0.194,0.806,0.0,-0.5574,Negative
I got anxiety watching this movie.,I got anxiety watching this movie.,0.254,0.746,0.0,-0.1779,Negative
rubbish movie.,rubbish movie.,0.0,1.0,0.0,0.0,Neutral
Chutzpah: The Movie,Chutzpah: The Movie,0.0,1.0,0.0,0.0,Neutral
Love it,Love it,0.0,0.192,0.808,0.6369,Positive
Timmy killed it,Timmy killed it,0.692,0.308,0.0,-0.6705,Negative
sd kid ?,sd kid ?,0.0,1.0,0.0,0.0,Neutral
"It’s a boring movie, not as crisp as you see in trailer","It’s a boring movie, not as crisp as you see in trailer",0.173,0.827,0.0,-0.3182,Negative
🔥🔥🔥🔥,🔥🔥🔥🔥,1.0,0.0,0.0,-0.8225,Negative
Felt bored watching this movie in theatre. Anyone else feel that way?,Felt bored watching this movie in theatre. Anyone else feel that way?,0.16,0.84,0.0,-0.2732,Negative
"Yall I watched it, and this movie is basically about a poor, horny, narcissist who manipulates his w...","Yall I watched it, and this movie is basically about a poor, horny, narcissist who manipulates his way to beating the #1 table tennis champion. It’s not really worth the watch. In my opinion, a microbiology documentary would’ve been more interesting. 😂",0.166,0.655,0.179,0.4234,Positive
Such an aggressive marketing campaign for a movie that we’re all going to forget the second it’s rel...,Such an aggressive marketing campaign for a movie that we’re all going to forget the second it’s released.,0.179,0.821,0.0,-0.3612,Negative
Every person at their right frequency can be at their element. The thing we dispise is ultimately ou...,Every person at their right frequency can be at their element. The thing we dispise is ultimately our greatest boss,0.0,0.819,0.181,0.6369,Positive
"Finally a real movie and not a slapped together Netflix or Amazon flick, best movie I’ve seen  since...","Finally a real movie and not a slapped together Netflix or Amazon flick, best movie I’ve seen  since Oppenheimer!",0.0,0.733,0.267,0.7345,Positive
Arguably the best film of 2026. And we’re still in January.,Arguably the best film of 2026. And we’re still in January.,0.132,0.592,0.276,0.4939,Positive
i loveeee this trailer. it's tricking you into believing Marty is gonna accomplish his dreams by the...,"i loveeee this trailer. it's tricking you into believing Marty is gonna accomplish his dreams by the end but in reality he never accomplishes anything. great film, my favorite film of 2025 along with No Other Choice",0.207,0.613,0.18,-0.5152,Negative
This and under the skin are the two best a24 films,This and under the skin are the two best a24 films,0.0,0.704,0.296,0.6369,Positive
This is a porn flick disguised as a cultivating story. You have been warned.,This is a porn flick disguised as a cultivating story. You have been warned.,0.259,0.741,0.0,-0.4939,Negative
I saw it last night. It was very entertaining and with a deeper meaning than what I thought,I saw it last night. It was very entertaining and with a deeper meaning than what I thought,0.0,0.842,0.158,0.4927,Positive
Is it worth it?,Is it worth it?,0.0,0.612,0.388,0.2263,Positive
"This movie was sooo trash, boring, stupid, a humiliating ritual.","This movie was sooo trash, boring, stupid, a humiliating ritual.",0.53,0.47,0.0,-0.7845,Negative
Showtime,Showtime,0.0,1.0,0.0,0.0,Neutral
very inspiration trailer 👌 I like it Egypt clip 😮 did you guys watching 👀,very inspiration trailer 👌 I like it Egypt clip 😮 did you guys watching 👀,0.0,0.544,0.456,0.9116,Positive
"What an absolute joke and waste of $10.  I can't believe this ""movie"" made it to the screen.  0- sta...","What an absolute joke and waste of $10.  I can't believe this ""movie"" made it to the screen.  0- star rating.  I should have walked out after the first 5 minutes.",0.082,0.853,0.065,-0.1531,Negative
"Did Kevin want 50% of his business and $5 royalties.

😂","Did Kevin want 50% of his business and $5 royalties.

😂",0.1,0.632,0.268,0.4939,Positive
Name car song please ?,Name car song please ?,0.0,0.635,0.365,0.3182,Positive
Name end song ?,Name end song ?,0.0,1.0,0.0,0.0,Neutral
Is ping pong this tuff,Is ping pong this tuff,0.0,1.0,0.0,0.0,Neutral
More like Pretentious Supreme,More like Pretentious Supreme,0.0,0.231,0.769,0.7688,Positive
This movie will be an Aeon classic,This movie will be an Aeon classic,0.0,1.0,0.0,0.0,Neutral
Ping pong is one of the world’s greatest sports. Any chump can play it. Only a few can master it,Ping pong is one of the world’s greatest sports. Any chump can play it. Only a few can master it,0.0,0.732,0.268,0.765,Positive
"I don't like biopics
I don't like Chalamet
Won't attend","I don't like biopics
I don't like Chalamet
Won't attend",0.345,0.655,0.0,-0.4973,Negative
LIKE REALLY....NONSENCE,LIKE REALLY....NONSENCE,0.0,0.286,0.714,0.3612,Positive
I haven't watched it yet but I feel it is going to be fire,I haven't watched it yet but I feel it is going to be fire,0.193,0.807,0.0,-0.4767,Negative
After all that i still dont know what this movies about.....,After all that i still dont know what this movies about.....,0.0,1.0,0.0,0.0,Neutral
Jai moctale 🎉,Jai moctale 🎉,0.0,0.526,0.474,0.4019,Positive
Movie sucked,Movie sucked,0.75,0.25,0.0,-0.4588,Negative
Worst movie I have paid for.  2 hours of repulsive characters and convoluted situations. When Marty ...,Worst movie I have paid for.  2 hours of repulsive characters and convoluted situations. When Marty cried in the end we bursted  into laughter.,0.217,0.68,0.104,-0.5423,Negative
No whites?,No whites?,0.688,0.312,0.0,-0.296,Negative
Ping pong.,Ping pong.,0.0,1.0,0.0,0.0,Neutral
What a horribly long and crappy movie.,What a horribly long and crappy movie.,0.583,0.417,0.0,-0.7906,Negative
Anybody getting tired of biopics?,Anybody getting tired of biopics?,0.42,0.58,0.0,-0.4404,Negative
kaiana +j+!!@!+@+@,kaiana +j+!!@!+@+@,0.0,1.0,0.0,0.0,Neutral
"Just watched the film. My god it was amazing; from the writing, to the directing, score and acting. ...","Just watched the film. My god it was amazing; from the writing, to the directing, score and acting. It’s superb. Timothee Chalamet knocked it out of the park!!! He deserves to win the Oscar",0.0,0.672,0.328,0.9401,Positive
It’s the best film I’ve ever seen.,It’s the best film I’ve ever seen.,0.0,0.588,0.412,0.6369,Positive
The love for this dude is so forced; it's like the whole of America is trying to push Timothy in our...,"The love for this dude is so forced; it's like the whole of America is trying to push Timothy in our faces, like in everything, to make him this big star, when in reality, he is really not that great or interesting. He is really blunt as a person, and he's simply just like any other young actor on television. It's 'them' who are making him more than what he actually is. 'Them' in like, idk, Hollywood or whoever runs this shit.",0.128,0.704,0.168,0.4749,Positive
I HATE MODERN TRAIlERS!,I HATE MODERN TRAIlERS!,0.612,0.388,0.0,-0.6932,Negative
Inspiration Movements 🎉,Inspiration Movements 🎉,0.0,0.247,0.753,0.7269,Positive
When you know no one really cares about ping pong so you put violence and car chases in the movie,When you know no one really cares about ping pong so you put violence and car chases in the movie,0.244,0.633,0.123,-0.5058,Negative
Go Katniss Everdeen! :-),Go Katniss Everdeen! :-),0.0,0.536,0.464,0.3802,Positive
"watched today

absolute cinema","watched today

absolute cinema",0.0,1.0,0.0,0.0,Neutral
Peddi kaadhugaaaa,Peddi kaadhugaaaa,0.0,1.0,0.0,0.0,Neutral
Chaaaalameeeth,Chaaaalameeeth,0.0,1.0,0.0,0.0,Neutral
I'm very close to starting wanking on this movie. I fuckin loooooooove it. I'm going crazy. I want t...,I'm very close to starting wanking on this movie. I fuckin loooooooove it. I'm going crazy. I want to be Marty Supreme. I wanna be the greatest. I wanna be a legend,0.061,0.709,0.23,0.7717,Positive
Most overhyped movie of the year!,Most overhyped movie of the year!,0.0,1.0,0.0,0.0,Neutral
"Well, I see why they gave him those glasses, haha. 🤓","Well, I see why they gave him those glasses, haha. 🤓",0.135,0.552,0.313,0.4404,Positive
Isn't anybody gonna mention the age gap between Gwyneth and Timothee...? Lol 😅,Isn't anybody gonna mention the age gap between Gwyneth and Timothee...? Lol 😅,0.0,0.725,0.275,0.6486,Positive
Why are trailers so long these days it feels like I'm seeing the whole movie? I like some surprises.,Why are trailers so long these days it feels like I'm seeing the whole movie? I like some surprises.,0.0,0.699,0.301,0.7096,Positive
Its a pity but with the exception of Call me by your name most of Timmys movies are crap . This one ...,Its a pity but with the exception of Call me by your name most of Timmys movies are crap . This one seems another boring one,0.257,0.743,0.0,-0.7876,Negative
Overrated and boring,Overrated and boring,0.535,0.465,0.0,-0.3182,Negative
He is luminous in this movie. Timothee fully embodies this fantastical guy.,He is luminous in this movie. Timothee fully embodies this fantastical guy.,0.0,0.742,0.258,0.5899,Positive
I've never wanted to see a film less than this one....,I've never wanted to see a film less than this one....,0.0,1.0,0.0,0.0,Neutral
Looking at the thumbnail thought this was Chungking express,Looking at the thumbnail thought this was Chungking express,0.0,1.0,0.0,0.0,Neutral
Why the intro is the same that The Mask 2,Why the intro is the same that The Mask 2,0.0,1.0,0.0,0.0,Neutral
WACK AND WOKE,WACK AND WOKE,0.0,1.0,0.0,0.0,Neutral
"They string together too many stressful events, making the movie impossible to enjoy. Its obvious a ...","They string together too many stressful events, making the movie impossible to enjoy. Its obvious a lot is invested in advertising the movie, otherwise nobody would watch it.",0.102,0.8,0.098,-0.0258,Neutral
🎉🎉🎉🎉🔥🔥🔥❤️‍🔥❤️‍🔥❤️‍🔥💘,🎉🎉🎉🎉🔥🔥🔥❤️‍🔥❤️‍🔥❤️‍🔥💘,0.348,0.29,0.362,0.3818,Positive
You lost me at table tennis,You lost me at table tennis,0.315,0.685,0.0,-0.3182,Negative
this guy better not meet up with forest gump thats a guaranteed L for him,this guy better not meet up with forest gump thats a guaranteed L for him,0.0,0.662,0.338,0.7672,Positive
EVERYBODYYYYYY WANTS TO RULE THE WOOOOOOORLD,EVERYBODYYYYYY WANTS TO RULE THE WOOOOOOORLD,0.0,1.0,0.0,0.0,Neutral
No wonder they started a trend where esdeekid is timothee for no reason. All was a media publicity s...,No wonder they started a trend where esdeekid is timothee for no reason. All was a media publicity smh,0.295,0.705,0.0,-0.6908,Negative
there's a trend in hollywood in the past 10 years that only allows oral sex scenes when it's the man...,"there's a trend in hollywood in the past 10 years that only allows oral sex scenes when it's the man performing on a woman. Nothing against it, but it's weird that all the movies now only have that way and not the other way around (or both ways!). Very weird... It's like it's programmed...",0.081,0.857,0.061,0.1022,Positive
"what a piece of shit
was it between ping pong and cup stacking?","what a piece of shit
was it between ping pong and cup stacking?",0.231,0.769,0.0,-0.5574,Negative
"You can't have an option. No backup plan, either the dream or death.","You can't have an option. No backup plan, either the dream or death.",0.337,0.552,0.11,-0.6249,Negative
