comment,full_comment,negative,neutral,positive,compound,sentiment
This movie is EPIC😂😂😂😂,This movie is EPIC😂😂😂😂,0.196,0.412,0.392,0.891,Positive
I'm watching it right now and it is so very stupid,I'm watching it right now and it is so very stupid,0.284,0.716,0.0,-0.6087,Negative
One of the most important movies,One of the most important movies,0.0,0.705,0.295,0.2716,Positive
I think someone should make a spin adult animated serious about Bob Ferguson because the character i...,I think someone should make a spin adult animated serious about Bob Ferguson because the character is a trip,0.067,0.933,0.0,-0.0772,Negative
This a very good movie something new something very thrilling,This a very good movie something new something very thrilling,0.0,0.548,0.452,0.764,Positive
DiCaprio never disappoints.  Penn was an off the chart bad guy.  I just watched this gem of a movie ...,"DiCaprio never disappoints.  Penn was an off the chart bad guy.  I just watched this gem of a movie and I'm all worked up.  Where did they find that road with the all the ups and downs?  Cinematography, score, all the actors, love, love this flick!",0.062,0.745,0.193,0.8114,Positive
This was probably the worst movie I have ever seen. So unrealistic.,This was probably the worst movie I have ever seen. So unrealistic.,0.272,0.728,0.0,-0.6249,Negative
Absolute rubbish.,Absolute rubbish.,0.0,1.0,0.0,0.0,Neutral
Excellent movie and acting,Excellent movie and acting,0.0,0.448,0.552,0.5719,Positive
Completely rubbish. Glorifying violent lefties. Boring as h3ll,Completely rubbish. Glorifying violent lefties. Boring as h3ll,0.427,0.33,0.243,-0.4186,Negative
So many anti-“woke” sheep frothing at the mouth over this obvious satirical film calling it anti-whi...,So many anti-“woke” sheep frothing at the mouth over this obvious satirical film calling it anti-white race-mixing liberal propaganda because they’re overly sensitive 💀,0.08,0.92,0.0,-0.25,Negative
"Must see f-ing movie. Sean Penn killed his role and if you haven't seen it, you'll see a side to him...","Must see f-ing movie. Sean Penn killed his role and if you haven't seen it, you'll see a side to him never displayed before. I don't have a freaking clue where that character came up from, but his walk and jaw movements deserves an Oscar alone. Lol. Nah, like really!!!! Lol",0.106,0.679,0.215,0.8432,Positive
"a dreadful film ,,all over thge place hateful characters and just a mess from start to finish woke g...","a dreadful film ,,all over thge place hateful characters and just a mess from start to finish woke garbage anti USA anti Gov anti Trump movie they them woke BS  if this gets an oscar then it truly is proof that oscars are marketing bs to just self gratify themselfs and to get dumbos to go watch there garagbage movies ...de caprio can do so much better and should learn to stick with movies like the DEPARTED before we all end up departing him as an actor of any merit",0.143,0.73,0.126,-0.2075,Negative
I had a few. A few small beers.,I had a few. A few small beers.,0.0,1.0,0.0,0.0,Neutral
Be careful if you have an emotionally distant father that finds unique ways to tell you that he love...,Be careful if you have an emotionally distant father that finds unique ways to tell you that he loves you. Why does this movie have me all messed up?!,0.071,0.765,0.165,0.4926,Positive
What is this rubbish? The storyline of Cars 4 was much more appealing.,What is this rubbish? The storyline of Cars 4 was much more appealing.,0.0,1.0,0.0,0.0,Neutral
"Watched it today.. thought it was gonna be a good movie 

Just a leftist wet dream of attacking immi...","Watched it today.. thought it was gonna be a good movie 

Just a leftist wet dream of attacking immigration detention camps that have 0 security and there all sleeping on the job blowing up the electrical grid and blowing up campaign offices and robbing federal buildings",0.102,0.762,0.136,0.2023,Positive
San Franciscans and Californians as a whole have seen what the result of Socialist Democrat policies...,"San Franciscans and Californians as a whole have seen what the result of Socialist Democrat policies are. We have been watching them FAIL for decades.

Broken Auto glass everywhere, feces on the sidewalk, tents on the sidewalk, syringes on the ground and open air drug use/sales, open air stolen goods markets on the sidewalk in San Francisco, locked up basic items like toothpaste, batteries, deodorant in our stores requiring help from employees of the store just to buy, businesses fleeing, flash mobs robbing stores, gangs everywhere, and law abiding citizens being denied our 2nd amendment rights, etc.

If anyone likes to live under these conditions, then vote Democrat and you will get these conditions to live under.

Trust me, it is very undesirable if you value, your safety and your personal property and just general and law and order. 

God Bless America

Make California America Again. 

Vote for Chad Bianco in 2026",0.094,0.785,0.121,0.4164,Positive
"Hollywood priming us for the Civil War that the Globalist ""Elites"" seem to desire.","Hollywood priming us for the Civil War that the Globalist ""Elites"" seem to desire.",0.21,0.645,0.145,-0.296,Negative
The song used in this trailer is an edited version of ocean waves correct? Crazy they didnt even wan...,"The song used in this trailer is an edited version of ocean waves correct? Crazy they didnt even want to spoil the score for this, best film of the 2020's no question",0.15,0.721,0.129,0.291,Positive
"Last months of pregnancy and shes moving like that and even shooting with LMG. Yep, thanks but no.","Last months of pregnancy and shes moving like that and even shooting with LMG. Yep, thanks but no.",0.0,0.739,0.261,0.5106,Positive
Cel mai slab film cu Di.Caprio,Cel mai slab film cu Di.Caprio,0.0,1.0,0.0,0.0,Neutral
