comment,full_comment,negative,neutral,positive,compound,sentiment
really good film and the music is brilliant,really good film and the music is brilliant,0.0,0.462,0.538,0.7902,Positive
Wunmi Mosaku was certainly a joy to watch leading lady Character awesome,Wunmi Mosaku was certainly a joy to watch leading lady Character awesome,0.0,0.466,0.534,0.8834,Positive
Fking boring,Fking boring,0.697,0.303,0.0,-0.3182,Negative
"Full of racism against white people complete trash, worst vampire movie ever made","Full of racism against white people complete trash, worst vampire movie ever made",0.427,0.573,0.0,-0.8481,Negative
"I just saw Sinners today.  To be honest, how could this movie nominated for 16 Oscars.  It is very r...","I just saw Sinners today.  To be honest, how could this movie nominated for 16 Oscars.  It is very ridiculous.  Nowadays Oscar committee is a joke for me.  It is all politically-related.  Movies from South Korea, Taiwan, Japan always nominated.  In my point of view, most of movies from Hollywood for more than 2 decades were poorly made in opposite to its huge budget.  If you are a huge movie-goer, I dare all of you to see Chinese movie called Hero (2002) starring Jet Li, Tony Leung, Donni Yen, Maggie Cheung and directed by Yimou Zhang  This movie has been the BEST movie of all time for me.  The BEST movie ever made so far.  It is so DAWN good.  If you know how the movie is all about.  Hey, don't get me wrong.  I am not Chinese.",0.017,0.8,0.183,0.9788,Positive
"I seriously believe that the only reason this movie won awards at the academies, is because of ""Whit...","I seriously believe that the only reason this movie won awards at the academies, is because of ""White Guilt"" seriously.....when has a Vampire Action movie ever won any awards? and it's not like the performances were like amazing or anything either.....",0.103,0.555,0.342,0.9412,Positive
Absolutely incredible.,Absolutely incredible.,0.0,1.0,0.0,0.0,Neutral
blade from wish,blade from wish,0.0,0.426,0.574,0.4019,Positive
Just watched this last night. Great movie. I totally understand the 16 Oscar nominations.,Just watched this last night. Great movie. I totally understand the 16 Oscar nominations.,0.0,0.76,0.24,0.6249,Positive
White people are officially the blood drinking devils they always have been. This movie is a perfect...,White people are officially the blood drinking devils they always have been. This movie is a perfect representation of whom whites really are.,0.13,0.739,0.13,0.0,Neutral
Ugh,Ugh,1.0,0.0,0.0,-0.4215,Negative
Remember the days where it took over 20 years for Steven Spielberg to win his first Oscar,Remember the days where it took over 20 years for Steven Spielberg to win his first Oscar,0.0,0.808,0.192,0.5859,Positive
"Nice movie,  and it deserves an oscar for the musical score. 
Super overrated tho. But i do get it. ...","Nice movie,  and it deserves an oscar for the musical score. 
Super overrated tho. But i do get it. This is what Hollywood is about now, so anything feeding their narrative will do great things.",0.0,0.762,0.238,0.875,Positive
